Time,Angle,Output,RPM
0.4472310543060303,337.8,95.0,437.14
0.947744607925415,337.89,95.0,428.49
1.451127290725708,338.24,95.0,422.0
1.9531283378601074,337.89,95.0,415.5
2.4567642211914062,337.45,85.0,409.01
2.9569859504699707,337.62,85.0,400.35
3.460089921951294,336.92,85.0,391.7
3.963040351867676,337.98,85.0,383.04
4.464256286621094,337.1,85.0,374.39
4.967033624649048,337.45,85.0,370.06
5.468622207641602,337.62,75.0,359.24
5.970487594604492,338.85,75.0,350.58
6.469669580459595,337.89,75.0,341.92
6.973495006561279,337.71,75.0,333.27
7.476720094680786,337.36,75.0,324.61
7.976114749908447,337.36,75.0,318.12
8.480590581893921,343.25,65.0,311.63
8.980774641036987,349.05,65.0,305.14
9.48515510559082,353.8,65.0,296.48
9.98720669746399,356.43,65.0,289.99
10.488277912139893,3.78,65.0,283.49
10.990196943283081,6.94,65.0,277.0
11.493570566177368,11.25,55.0,268.35
11.995772361755371,13.27,55.0,259.69
12.496027708053589,18.55,55.0,248.87
12.99854850769043,23.12,55.0,240.21
13.500985622406006,28.74,55.0,231.56
14.001088380813599,29.97,55.0,220.74
14.503710985183716,30.15,45.0,214.24
15.006377458572388,30.15,45.0,201.26
15.50919508934021,30.68,45.0,186.11
16.012226104736328,31.38,45.0,175.29
16.512556791305542,31.91,45.0,162.31
17.015601634979248,3.6,45.0,138.5
17.516719341278076,352.65,35.0,134.17
18.02037787437439,9.23,35.0,125.52
18.521605014801025,15.21,35.0,106.04
19.023029565811157,0.53,35.0,86.56
19.524704933166504,10.28,35.0,80.07
20.026503562927246,357.49,35.0,62.76
20.528990030288696,17.05,25.0,56.27
21.030925273895264,3.87,25.0,28.13
21.533222198486328,29.27,25.0,23.8
22.03791856765747,34.54,25.0,6.49
22.53890109062195,34.54,25.0,0.0
23.039950370788574,34.54,25.0,0.0
23.54037833213806,34.63,15.0,0.0
24.044437885284424,34.54,15.0,0.0
24.544726371765137,34.54,15.0,0.0
25.048242568969727,34.54,15.0,0.0
25.5498309135437,34.54,15.0,0.0
26.0514919757843,34.54,15.0,0.0
26.552830457687378,34.54,5.0,0.0
27.058411598205566,34.54,5.0,0.0
27.560462474822998,34.63,5.0,0.0
28.06145215034485,34.54,5.0,0.0
28.562844276428223,34.54,5.0,0.0
29.06440043449402,34.54,5.0,0.0
29.564945459365845,34.63,-5.0,0.0
30.0681471824646,34.54,-5.0,0.0
